site_location,inspection_date,template_name,section,question,answer,notes,image_path
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Title Page,Site conducted,GBC ABS-VONS 0724,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Title Page,Conducted on,6:00 AM,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Title Page,Prepared by,GBC ABS-VONS 0724 19640 Beach Blvd,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Navigation,NEXTPAGE,NEXTPAGE,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Housekeeping and Calibration,Did you have Production Today?,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Housekeeping,Sneeze Guard,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Housekeeping,Display Case,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Housekeeping,Rice Cooker,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Housekeeping,Mixers,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Housekeeping,Knives,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Housekeeping,Cutting Boards,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Housekeeping,Prep Table,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Housekeeping,Carts,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Housekeeping,Bamboo Mats,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Housekeeping,Prep Sink,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Housekeeping,Light Fixtures,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Housekeeping,BOHA Machine,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Housekeeping,Sushi Rolling Machine (If Applicable),N/A,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Calibration,Calibrate Thermometers and Validate Accuracy 32+/- 2F,Pass,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Calibration,"pH meter Calibration, Buffer = 7",7,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Calibration,"pH meter Calibration, Buffer = 4",4,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Navigation,NEXTPAGE,NEXTPAGE,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Temperatures,Check Temp of Reach-In Cooler,34.5,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Temperatures,Check Temp of Reach-In Freezer,2,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Temperatures,Check Temp of Display Case #1,34.5,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Temperatures,Check Temp of Display Case #2,34.5,,
